go	va
stay in the house	restez dans la maison
stay in this room	reste dans cette piece
stay in this room	restez dans cette piece
stealing is wrong	voler est mal
step on the scale	montez sur la balance
stop the car here	arrete la voiture ici
take care of this	prenez soin de ceci
take care of this	prends soin de ceci
take this aspirin	prenez cette aspirine
tell me about him	parle moi de lui
tell me the story	raconte moi l histoire
tell me the truth	dites moi la verite
tell me the truth	dis moi la verite
thanks for coming	merci de venir
thanks in advance	merci d avance
thanks in advance	d avance merci
that apple is big	cette pomme est grosse
that boy is smart	ce garcon est intelligent
that boy is smart	ce garcon est malin
that house is big	cette maison est grande
that house is big	cette maison est massive
that is a mistake	c est une erreur
that is essential	c est essentiel
that is her house	c est sa maison
that is his house	c est sa maison
that is my school	c est mon ecole
that is your book	c est ton livre
that is your book	c est votre livre
that might be fun	nous allons nous amuser
that movie stinks	ce film craint
that should do it	ca devrait le faire
that sounds right	ca semble coller
that wall is cold	ce mur est froid
that was our plan	c etait notre plan
that was pathetic	c etait pathetique
that ll never fly	ca ne volera jamais
that s a bad spot	c est un mauvais endroit
that s a big blow	c est un gros choc
that s a big deal	c est une grosse affaire
that s a low blow	c est un coup bas
that s acceptable	c est acceptable
that s classified	c est secret
that s disgusting	c est degueulasse
that s impossible	c est impossible
that s impressive	c est impressionnant
that s just awful	c est simplement atroce
that s just crazy	c est juste dingue
that s just false	c est juste faux
that s real funny	c etait vraiment amusant
that s really sad	c est vraiment triste
that s ridiculous	c est risible
that s sufficient	c est suffisant
that s super easy	c est super facile
that s terrifying	c est terrifiant
that s the answer	c est la reponse
that s very funny	c est tres marrant
that s very funny	c est tres drole
that s very handy	c est tres pratique
the alarm sounded	l alarme sonna
the bar is closed	le bar est ferme
the bath is ready	le bain est pret
the boat capsized	le bateau chavira
the book is small	le livre est petit
the book is white	le livre est blanc
the cage is empty	la cage est vide
the cops are gone	les flics sont partis
the dog was dying	le chien etait mourant
the dog went away	le chien a file
the earth rotates	la terre tourne
the enemy is weak	l ennemi est faible
the fight is over	le combat est termine
the fire went out	le feu s eteignit
the girls giggled	les filles poufferent
the girls giggled	les filles glousserent
the gun is jammed	l arme est enrayee
the horse is mine	c est mon cheval
the joke s on you	on se moque de vous
the joke s on you	on se moque de toi
the lemon is sour	le citron est acide
the lid is closed	le couvercle est ferme
the lights are on	les phares sont allumes
the lights are on	les voyants sont allumes
the market is big	le marche est grand
the meat is tough	la viande est dure
the money is gone	l argent a disparu
the money is gone	l argent a file
the night is dark	la nuit est sombre
the pain has gone	la douleur est partie
the pain has gone	la douleur a disparu
the party is over	la fete est finie
the pay is meager	la paie est maigre
the room was dark	la piece etait sombre
the rumor is true	la rumeur est vraie
the sand was warm	le sable etait chaud
the soup is thick	la soupe est epaisse
the street is wet	la rue est mouillee
the sun is a star	le soleil est une etoile
the sun is rising	le soleil se leve
the switch is off	l interrupteur est ouvert
the tank is empty	la cuve est vide
the water is cold	l eau est froide
the water is good	l eau est bonne
the water is pure	l eau est pure
the water is warm	l eau est chaude
the water was hot	l eau etait chaude
the worst is over	le pire est passe
they already know	ils savent deja
they both laughed	tous deux rirent
they both laughed	toutes deux rirent
they can t see me	ils ne peuvent me voir
they can t see me	elles ne peuvent me voir
they must be fake	ils doivent etre faux
they sang in tune	ils ont chante juste
they were wealthy	ils etaient riches
they were wealthy	elles etaient fortunees
they ll eat those	ils mangeront ceux la
they ll eat those	ils mangeront celles la
they ll eat those	elles mangeront ceux la
they ll eat those	elles mangeront celles la
they ll like that	ils vont aimer cela
they ll try again	ils essayeront a nouveau
they ll try again	elles essayeront a nouveau
they ve just left	ils viennent de partir
this apple is bad	cette pomme est mauvaise
this bed is heavy	ce lit pese lourd
this bird can fly	cet oiseau sait voler
this book was new	ce livre etait neuf
this box is light	cette caisse est legere
this bucket leaks	ce seau fuit
this coat is warm	ce manteau est chaud
this desk is good	ce bureau est bien
this doesn t burn	ca ne brule pas
this doesn t work	ca ne fonctionne pas
this doesn t work	ca ne marche pas
this dog is white	ce chien est blanc
this guy is great	ce type est extra
this guy is great	ce type est celebre
this is a miracle	c est un miracle
this is a mistake	c est une erreur
this is a picture	ceci est un tableau
this is appalling	c est atroce
this is appalling	c est choquant
this is different	c est different
this is expensive	c est cher
this is expensive	c est onereux
this is her house	c est sa maison
this is hilarious	c est tordant
this is hilarious	c est hilarant
this is his fault	c est sa faute
this is his house	c est sa maison
this is important	c est important
this is insulting	c est insultant
this is justified	c est justifie
this is ludicrous	c est absurde
this is ludicrous	c est ridicule
this is my family	c est ma famille
this is my friend	c est mon ami
this is my mother	c est ma mere
this is my mother	c est ma maman
this is my office	c est mon bureau
this is my school	c est mon ecole
this is offensive	c est offensant
this is offensive	c est grossier
this is our house	c est notre maison
this is revolting	c est revoltant
this is so boring	c est tellement chiant
this is so stupid	c est tellement idiot
this is so unfair	c est tellement injuste
this is temporary	c est temporaire
this is very easy	c est fort aise
this is very good	c est tres bon
this is very good	c est tres bien
this is very true	c est tres vrai
this is worrisome	c est inquietant
this is your book	c est ton livre
this is your fate	c est ton destin
this is your fate	c est ta destinee
this is your fate	c est ton sort
this is your fate	c est votre sort
this is your fate	c est votre destinee
this is your fate	c est votre destin
this is your wine	c est votre vin
this lake is deep	ce lac est profond
this one is on me	celui ci est pour moi
this one is on me	celle ci est pour moi
this sounds fishy	ca semble suspect
this wall is cold	ce mur est froid
throw me the ball	jetez moi la balle
today is thursday	nous sommes jeudi
tom can do better	tom peut mieux faire
tom can t come in	tom ne peut pas entrer
tom could do that	tom pourrait faire cela
tom could do that	tom pourrait faire ca
tom despised mary	tom meprisait marie
tom despises mary	tom meprise marie
tom didn t see it	tom ne le vit pas
tom didn t see it	tom ne la vit pas
tom does love you	tom t aime vraiment
tom doesn t smoke	tom ne fume pas
tom drives safely	tom conduit prudemment
tom drives slowly	tom conduit lentement
tom has windows	tom a windows
tom imitated mary	tom imita mary
tom is a good man	tom est un homme bon
tom is a teenager	tom est un adolescent
tom is an old man	tom est un vieil homme
tom is frustrated	tom est frustre
tom is going nuts	tom perd la tete
tom is handcuffed	tom est menotte
tom is intolerant	tom est intolerant
tom is making tea	tom fait du the
tom is my brother	tom est mon frere
tom is not crying	tom ne pleure pas
tom is very smart	tom est tres intelligent
tom is your uncle	tom est ton oncle
tom is your uncle	tom est votre oncle
tom knew too much	tom en savait trop
tom likes writing	tom aime ecrire
tom lost the race	tom perdit la course
tom loves his job	tom aime son travail
tom loves his job	tom aime son emploi
tom loves singing	tom aime chanter
tom loves you all	tom vous aime tous
tom loves you all	tom vous aime toutes
tom moves quickly	tom bouge rapidement
tom must be proud	tom doit etre fier
tom must be tired	tom doit etre fatigue
tom must be wrong	tom doit avoir tort
tom must be wrong	tom doit se tromper
tom never gave up	tom ne renonca jamais
tom rang the bell	tom sonna la cloche
tom seems sincere	tom parait sincere
tom seems sincere	tom semble sincere
tom seems so nice	tom parait si sympathique
tom shut his eyes	tom ferma les yeux
tom sounded happy	tom semblait heureux
tom talks quickly	tom parle rapidement
tom took a shower	tom prit une douche
tom understood me	tom me comprenait
tom waited for me	tom m a attendue
tom walks quickly	tom marche vite
tom walks quickly	tom marche rapidement
tom was ambitious	tom etait ambitieux
tom was dangerous	tom etait dangereux
tom was motivated	tom etait motive
tom was strangled	tom fut etrangle
tom won t be long	tom ne va pas tarder
try to stay awake	essaie de rester eveille
use it or lose it	utilise le ou perds le
wait a bit longer	attends encore un peu
watch how i do it	regarde comment je le fais
watch how i do it	regardez comment je le fais
watch your tongue	surveille ton langage
we all understand	nous comprenons tous
we all understand	nous comprenons toutes
we could continue	nous pourrions continuer
we cried together	nous pleurames ensemble
we don t know her	nous ne la connaissons pas
we have a big dog	nous avons un gros chien
we have a problem	nous avons un probleme
we have to escape	nous devons nous echapper
we know this song	nous connaissons cette chanson
we live in boston	nous vivons a boston
we looked for her	nous l avons cherchee
we love our parks	nous aimons nos parcs
we play on sunday	nous jouons le dimanche
we rented a canoe	nous louames un canoe
we understand why	nous comprenons pourquoi
we waited outside	nous attendimes dehors
we want a rematch	nous voulons une revanche
we want our money	nous voulons notre argent
we went due north	nous partimes plein nord
